experiment,problem,approach,size,instance_id,n_runs,expected_runs,technical_success_rate,conditional_feasibility_rate,overall_feasible_rate,optimal_solution_rate,consistency_rate,n_distinct_feasible_values,instance_gap_count,instance_gap_mean_pct,instance_gap_median_pct,instance_gap_std_pct,instance_gap_min_pct,instance_gap_max_pct,instance_gap_q25_pct,instance_gap_q75_pct,instance_gap_iqr_pct,instance_runtime_count,instance_runtime_mean_seconds,instance_runtime_median_seconds,instance_runtime_std_seconds,instance_runtime_min_seconds,instance_runtime_max_seconds,instance_debug_iterations_mean,instance_debug_iterations_median
cot,SMTWTP,CoT,25,smtwtp_n25_inst3,10,10,1.0,1.0,1.0,0.0,0.6,4,10,97.48799752206908,95.84946569614372,2.1192311204155145,95.84946569614372,100.27876722936348,95.84946569614372,99.8373857828713,3.98792008672757,0,,,,,,,
cot,SMTWTP,CoT,25,smtwtp_n25_inst4,10,10,0.9,1.0,0.9,0.0,0.3333333333333333,6,9,73.1378463465691,69.67808930425753,21.732989170805947,48.33110814419226,101.26094051327696,48.33110814419226,94.54086930722445,46.2097611630322,0,,,,,,,
main,SICLSP,Code-Based,5,siclsp_T5_inst0,10,10,1.0,1.0,1.0,0.7,0.7,2,10,6.0969044414535665,0.0,9.816948805179925,0.0,20.323014804845222,0.0,15.242261103633917,15.242261103633917,0,,,,,,0.9,1.0
main,SICLSP,Code-Based,5,siclsp_T5_inst1,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.8,1.0
main,SICLSP,Code-Based,5,siclsp_T5_inst2,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0
main,SICLSP,Code-Based,5,siclsp_T5_inst3,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0
main,SICLSP,Code-Based,5,siclsp_T5_inst4,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0
main,SICLSP,Code-Based,10,siclsp_T10_inst0,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0
main,SICLSP,Code-Based,10,siclsp_T10_inst1,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.1,0.0
main,SICLSP,Code-Based,10,siclsp_T10_inst2,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.3,0.0
